San Luis,AGUA HEDIONDA,14661,5705,74
San Luis,AGUADITA,14662,5719,74
San Luis,ALGARROBAL,14663,5707,74
San Luis,ARBOL VERDE,14664,5715,74
San Luis,BAJADA,14665,5711,74
San Luis,BALDE AHUMADA,14666,5713,74
San Luis,BALDE DE ARRIBA,14667,5707,74
San Luis,BALDE DE AZCURRA,14668,5707,74
San Luis,BALDE DE GARCIA,14669,5715,74
San Luis,BALDE DE GUARDIA,14670,5713,74
San Luis,BALDE DE LEDESMA,14671,5715,74
San Luis,BALDE DE MONTE,14672,5715,74
San Luis,BALDE DE PUERTAS,14673,5707,74
San Luis,BALDE DE QUINES,14674,5715,74
San Luis,BALDE DE TORRES,14675,5713,74
San Luis,BALDE EL CARRIL,14676,5713,74
San Luis,BALDE HONDO,14677,5705,74
San Luis,BALDE RETAMO,14678,5711,74
San Luis,BALDE VIEJO,14679,5711,74
San Luis,BALDECITO,14680,5713,74
San Luis,BALDECITO LA PAMPA,14681,5707,74
San Luis,BAÃ‘ADO,14682,5707,74
San Luis,BAÃ‘ADO LINDO,14683,5705,74
San Luis,BANDA SUD,14684,5705,74
San Luis,BAÃ‘OS ZAPALLAR,14685,5711,74
San Luis,BARRIALES,14686,5707,74
San Luis,BARZOLA,14687,5707,74
San Luis,BELLA VISTA,14688,5705,74
San Luis,BOTIJAS,14689,5707,74
San Luis,CAMPANARIO,14690,5705,74
San Luis,CAÃ‘ADA ANGOSTA,14691,5703,74
San Luis,CAÃ‘ADA QUEMADA,14692,5709,74
San Luis,CANDELARIA,14693,5713,74
San Luis,CANTANTAL,14694,5707,74
San Luis,CARMELO,14695,5707,74
San Luis,CEBOLLAR,14696,5709,74
San Luis,CERRO BAYO,14697,5707,74
San Luis,CERRO NEGRO,14698,5707,74
San Luis,CHIMBAS,14699,5707,74
San Luis,CHIMBORAZO,14700,5707,74
San Luis,CONSULTA,14701,5709,74
San Luis,CORRAL DE PIEDRA,14702,5709,74
San Luis,EL ALTO,14703,5715,74
San Luis,EL BAÃ‘ADO,14704,5711,74
San Luis,EL CADILLO,14705,5713,74
San Luis,EL CALDEN,14706,5711,74
San Luis,EL CARMEN,14707,5719,74
San Luis,EL CHAÃ‘AR,14708,5711,74
San Luis,EL ESPINILLO,14709,5703,74
San Luis,EL HORMIGUERO,14710,5713,74
San Luis,EL INJERTO,14711,5711,74
San Luis,EL MANANTIAL,14712,5709,74
San Luis,EL MOLINO,14713,5709,74
San Luis,EL MOLLAR,14714,5713,74
San Luis,EL MOLLARCITO,14715,5707,74
San Luis,EL PAYERO,14716,5707,74
San Luis,EL PIMPOLLO,14717,5717,74
San Luis,EL POTRERILLO,14718,5711,74
